,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,-0.01,0.05,-3.13659,-25.13274,994
1,-0.01,0.1,-3.1366,-25.13274,494
2,-0.01,0.15,-3.13659,-25.13274,327
3,-0.01,0.2,-9.41979,-75.39822,266
4,-0.01,0.25,-11.63033,-86.60091,5
5,-0.01,0.3,-10.8146,-78.64745,3
6,-0.01,0.35,-12.28428,-96.04733,3
7,-0.01,0.4,-6.40656,-52.23698,1
8,-0.01,0.45,-7.20655,-64.03348,1
9,-0.01,0.5,-11.39866,-83.83044,2
10,-0.01,0.55,-11.97204,-91.29669,6
11,-0.01,0.6,-11.89066,-90.12166,5
12,-0.01,0.65,-10.40652,-76.60043,1
13,-0.01,0.7,-11.20651,-81.8294,1
14,-0.01,0.75,-12.0065,-91.80339,1
