,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,-9.98,0.05,-12.56,-100.35,10
1,-9.98,0.1,-11.81,-89.04,5
2,-9.98,0.15,-12.36,-97.29,4
3,-9.98,0.2,-11.84,-89.41,3
4,-9.98,0.25,-10.97,-79.77,2
5,-9.98,0.3,-11.28,-82.58,2
6,-9.98,0.35,-11.64,-86.67,2
7,-9.98,0.4,-12.03,-92.22,2
8,-9.98,0.45,-12.48,-99.17,2
9,-9.98,0.5,-10.58,-77.33,1
10,-9.98,0.55,-10.64,-77.63,1
11,-9.98,0.6,-10.7,-77.96,1
12,-9.98,0.65,-10.76,-78.32,1
13,-9.98,0.7,-10.82,-78.7,1
14,-9.98,0.75,-10.88,-79.12,1
15,-9.98,0.8,-10.94,-79.56,1
16,-9.98,0.85,-11.0,-80.03,1
17,-9.98,0.9,-11.06,-80.53,1
18,-9.98,0.95,-11.12,-81.06,1
19,-9.98,1.0,-11.18,-81.62,1
20,-9.98,1.05,-11.24,-82.2,1
21,-9.98,1.1,-11.3,-82.82,1
22,-9.98,1.15,-11.36,-83.46,1
23,-9.98,1.2,-11.43,-84.13,1
24,-9.98,1.25,-11.49,-84.82,1
25,-9.98,1.3,-11.55,-85.54,1
26,-9.98,1.35,-11.61,-86.29,1
27,-9.98,1.4,-11.67,-87.06,1
28,-9.98,1.45,-11.73,-87.85,1
29,-9.98,1.5,-11.79,-88.66,1
30,-9.98,1.55,-11.85,-89.5,1
31,-9.98,1.6,-11.91,-90.35,1
32,-9.98,1.65,-11.97,-91.22,1
33,-9.98,1.7,-12.03,-92.11,1
34,-9.98,1.75,-12.09,-93.01,1
35,-9.98,1.8,-12.15,-93.92,1
36,-9.98,1.85,-12.21,-94.85,1
37,-9.98,1.9,-12.27,-95.79,1
38,-9.98,1.95,-12.33,-96.73,1
