,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,-2.68,0.05,-3.14,-25.13,985
1,-2.68,0.1,-3.14,-25.13,491
2,-2.68,0.15,-3.14,-25.13,326
3,-2.68,0.2,-3.14,-25.13,243
4,-2.68,0.25,-3.14,-25.13,193
5,-2.68,0.3,-3.14,-25.13,160
6,-2.68,0.35,-3.14,-25.13,136
7,-2.68,0.4,-3.14,-25.13,118
8,-2.68,0.45,-3.14,-25.13,103
9,-2.68,0.5,-3.14,-25.13,88
10,-2.68,0.55,-3.14,-25.13,1
11,-2.68,0.6,-11.16,-81.36,16
12,-2.68,0.65,-5.29,-35.58,8
13,-2.68,0.7,-6.0,-45.69,6
14,-2.68,0.75,-6.74,-57.46,5
15,-2.68,0.8,-5.44,-37.54,4
16,-2.68,0.85,-11.76,-88.3,5
17,-2.68,0.9,-4.96,-31.93,3
18,-2.68,0.95,-5.92,-44.49,3
19,-2.68,1.0,-7.27,-64.8,3
20,-2.68,1.05,-11.72,-87.72,8
21,-2.68,1.1,-11.49,-84.83,3
22,-2.68,1.15,-4.76,-30.12,2
23,-2.68,1.2,-5.05,-32.89,2
24,-2.68,1.25,-5.37,-36.69,2
25,-2.68,1.3,-5.73,-41.63,2
26,-2.68,1.35,-6.12,-47.62,2
27,-2.68,1.4,-6.54,-54.38,2
28,-2.68,1.45,-7.0,-61.28,2
29,-2.68,1.5,-7.5,-67.5,2
30,-2.68,1.55,-8.04,-72.16,2
31,-2.68,1.6,-8.61,-74.71,2
32,-2.68,1.65,-12.04,-92.25,8
33,-2.68,1.7,-11.29,-82.68,3
34,-2.68,1.75,-10.58,-77.32,2
35,-2.68,1.8,-11.32,-82.97,2
36,-2.68,1.85,-12.1,-93.19,2
37,-2.68,1.9,-4.27,-26.92,1
38,-2.68,1.95,-4.31,-27.11,1
