,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,7.95,0.05,3.14659,25.13274,998
1,7.95,0.1,3.14659,25.13274,496
2,7.95,0.15,3.14659,25.13274,328
3,7.95,0.2,3.14658,25.13274,243
4,7.95,0.25,-11.78876,-88.69745,14
5,7.95,0.3,-11.27622,-82.52275,8
6,7.95,0.35,-10.91144,-79.31982,9
7,7.95,0.4,-10.80179,-78.56406,6
8,7.95,0.45,-11.82589,-89.20998,5
9,7.95,0.5,-5.85238,-43.47822,4
10,7.95,0.55,-6.56276,-54.70966,20
11,7.95,0.6,-7.1562,-63.37976,11
12,7.95,0.65,3.14656,25.13274,72
13,7.95,0.7,-12.55724,-100.38488,8
14,7.95,0.75,-10.43419,-76.70137,4
15,7.95,0.8,-12.54016,-100.11162,3
16,7.95,0.85,-5.16315,-34.10427,8
17,7.95,0.9,-6.44777,-52.8929,2
18,7.95,0.95,-10.58644,-77.3518,3
19,7.95,1.0,0.7505,11.46004,1
20,7.95,1.05,0.39034,6.16674,1
21,7.95,1.1,0.03018,0.48284,1
22,7.95,1.15,-0.32999,-5.23219,1
23,7.95,1.2,-0.69015,-10.61442,1
24,7.95,1.25,-1.05031,-15.3431,1
25,7.95,1.3,-1.41047,-19.18116,1
26,7.95,1.35,-10.42672,-76.67361,2
27,7.95,1.4,-7.38151,-66.17565,2
28,7.95,1.45,-4.86084,-30.97471,2
