,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,-4.79,0.05,-9.42,-75.4,997
1,-4.79,0.1,-9.42,-75.4,496
2,-4.79,0.15,-9.42,-75.4,329
3,-4.79,0.2,-12.38,-97.62,9
4,-4.79,0.25,-11.62,-86.46,3
5,-4.79,0.3,-10.9,-79.2,2
6,-4.79,0.35,-10.77,-78.34,2
7,-4.79,0.4,-11.35,-83.34,3
8,-4.79,0.45,-10.66,-77.73,5
9,-4.79,0.5,-9.42,-75.4,95
10,-4.79,0.55,-10.49,-76.92,8
11,-4.79,0.6,-10.56,-77.22,2
12,-4.79,0.65,-12.52,-99.73,2
13,-4.79,0.7,-10.8,-78.54,1
14,-4.79,0.75,-11.23,-82.03,1
15,-4.79,0.8,-11.66,-86.94,1
16,-4.79,0.85,-12.09,-92.99,1
17,-4.79,0.9,-12.52,-99.72,1
18,-4.79,0.95,-4.79,-30.31,0
19,-4.79,1.0,-4.79,-30.31,0
20,-4.79,1.05,-4.79,-30.31,0
21,-4.79,1.1,-4.79,-30.31,0
22,-4.79,1.15,-4.79,-30.31,0
23,-4.79,1.2,-4.79,-30.31,0
24,-4.79,1.25,-4.79,-30.31,0
25,-4.79,1.3,-4.79,-30.31,0
26,-4.79,1.35,-4.79,-30.31,0
27,-4.79,1.4,-4.79,-30.31,0
28,-4.79,1.45,-4.79,-30.31,0
29,-4.79,1.5,-4.79,-30.31,0
30,-4.79,1.55,-4.79,-30.31,0
31,-4.79,1.6,-4.79,-30.31,0
32,-4.79,1.65,-4.79,-30.31,0
33,-4.79,1.7,-4.79,-30.31,0
34,-4.79,1.75,-4.79,-30.31,0
35,-4.79,1.8,-4.79,-30.31,0
36,-4.79,1.85,-4.79,-30.31,0
37,-4.79,1.9,-4.79,-30.31,0
38,-4.79,1.95,-4.79,-30.31,0
