,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,8.03,0.05,3.15,25.13,998
1,8.03,0.1,3.15,25.13,496
2,8.03,0.15,3.15,25.13,327
3,8.03,0.2,3.15,25.13,245
4,8.03,0.25,-9.42,-75.4,205
5,8.03,0.3,-11.51,-85.08,8
6,8.03,0.35,-11.66,-87.03,5
7,8.03,0.4,-12.56,-100.44,4
8,8.03,0.45,-6.9,-59.84,3
9,8.03,0.5,-6.58,-55.05,3
10,8.03,0.55,-6.2,-48.98,4
11,8.03,0.6,-12.45,-98.74,7
12,8.03,0.65,-5.95,-44.95,24
13,8.03,0.7,3.15,25.13,66
14,8.03,0.75,-3.14,-25.13,72
15,8.03,0.8,-12.47,-98.94,4
16,8.03,0.85,-10.77,-78.36,3
17,8.03,0.9,-10.48,-76.88,6
18,8.03,0.95,-10.27,-76.18,4
19,8.03,1.0,-7.56,-68.15,2
20,8.03,1.05,-10.98,-79.84,2
21,8.03,1.1,0.79,11.95,1
22,8.03,1.15,0.46,7.18,1
23,8.03,1.2,0.13,2.03,1
24,8.03,1.25,-0.2,-3.22,1
25,8.03,1.3,-0.53,-8.3,1
26,8.03,1.35,-0.86,-12.95,1
27,8.03,1.4,-1.19,-16.95,1
28,8.03,1.45,-1.52,-20.14,1
29,8.03,1.5,-10.56,-77.21,2
30,8.03,1.55,-7.5,-67.53,2
31,8.03,1.6,-5.0,-32.29,2
32,8.03,1.65,-10.22,-76.06,6
33,8.03,1.7,-4.97,-32.0,10
34,8.03,1.75,-4.36,-27.39,2
35,8.03,1.8,-7.06,-62.04,2
36,8.03,1.85,-11.11,-80.97,2
37,8.03,1.9,-4.48,-28.08,1
38,8.03,1.95,-4.81,-30.54,1
