,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,3.92,0.05,3.15,25.13,989
1,3.92,0.1,3.15,25.13,492
2,3.92,0.15,3.15,25.13,326
3,3.92,0.2,3.15,25.13,243
4,3.92,0.25,3.15,25.13,193
5,3.92,0.3,3.15,25.13,155
6,3.92,0.35,-10.94,-79.55,29
7,3.92,0.4,-9.42,-75.4,130
8,3.92,0.45,-12.5,-99.43,7
9,3.92,0.5,-10.67,-77.79,8
10,3.92,0.55,-10.7,-77.93,9
11,3.92,0.6,-3.14,-25.13,76
12,3.92,0.65,-6.55,-54.45,3
13,3.92,0.7,-12.56,-100.39,4
14,3.92,0.75,-11.93,-90.7,3
15,3.92,0.8,-9.42,-75.4,60
16,3.92,0.85,-11.35,-83.3,5
17,3.92,0.9,-6.97,-60.78,4
18,3.92,0.95,-4.81,-30.54,2
19,3.92,1.0,-6.2,-48.92,2
20,3.92,1.05,-7.68,-69.34,2
21,3.92,1.1,-9.42,-75.4,41
22,3.92,1.15,-10.88,-79.08,2
23,3.92,1.2,-12.56,-100.41,2
24,3.92,1.25,1.01,14.91,1
25,3.92,1.3,0.9,13.44,1
26,3.92,1.35,0.78,11.89,1
27,3.92,1.4,0.67,10.26,1
28,3.92,1.45,0.55,8.56,1
29,3.92,1.5,0.43,6.81,1
30,3.92,1.55,0.32,5.01,1
31,3.92,1.6,0.2,3.18,1
32,3.92,1.65,0.08,1.33,1
33,3.92,1.7,-0.03,-0.53,1
34,3.92,1.75,-0.15,-2.39,1
35,3.92,1.8,-0.27,-4.23,1
36,3.92,1.85,-0.38,-6.04,1
37,3.92,1.9,-0.5,-7.82,1
38,3.92,1.95,-0.62,-9.54,1
