,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,1.86,0.05,-3.14,-25.13,998
1,1.86,0.1,-3.14,-25.13,496
2,1.86,0.15,-3.14,-25.13,327
3,1.86,0.2,-3.14,-25.13,244
4,1.86,0.25,-11.54,-85.47,10
5,1.86,0.3,-11.27,-82.5,4
6,1.86,0.35,-10.88,-79.08,3
7,1.86,0.4,-6.54,-54.32,2
8,1.86,0.45,-7.03,-61.66,2
9,1.86,0.5,-7.15,-63.3,2
10,1.86,0.55,-6.91,-59.92,2
11,1.86,0.6,-6.35,-51.27,2
12,1.86,0.65,-5.56,-39.22,2
13,1.86,0.7,-11.47,-84.6,4
14,1.86,0.75,-5.38,-36.77,3
15,1.86,0.8,-4.93,-31.63,6
16,1.86,0.85,-3.14,-25.13,54
17,1.86,0.9,-11.54,-85.43,6
18,1.86,0.95,-10.81,-78.59,5
19,1.86,1.0,-5.89,-44.03,2
20,1.86,1.05,-8.11,-72.6,2
21,1.86,1.1,-10.88,-79.09,2
22,1.86,1.15,-4.73,-29.82,1
23,1.86,1.2,-5.01,-32.47,1
24,1.86,1.25,-5.3,-35.74,1
25,1.86,1.3,-5.59,-39.55,1
26,1.86,1.35,-5.87,-43.79,1
27,1.86,1.4,-6.16,-48.28,1
28,1.86,1.45,-6.45,-52.85,1
29,1.86,1.5,-6.73,-57.32,1
30,1.86,1.55,-7.02,-61.51,1
31,1.86,1.6,-7.3,-65.26,1
32,1.86,1.65,-7.59,-68.45,1
33,1.86,1.7,-7.88,-71.01,1
34,1.86,1.75,-8.16,-72.93,1
35,1.86,1.8,-8.45,-74.22,1
36,1.86,1.85,-12.11,-93.35,2
37,1.86,1.9,-10.24,-76.09,2
38,1.86,1.95,-9.42,-75.4,16
