,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,8.03,0.3,-4.33,-27.23,5
1,8.03,0.3,-11.51,-85.08,10
2,8.03,0.3,-11.51,-85.08,15
3,8.03,0.3,-11.51,-85.08,20
4,8.03,0.3,-11.51,-85.08,25
5,8.03,0.3,-11.51,-85.08,30
6,8.03,0.3,-11.51,-85.08,35
7,8.03,0.3,-11.51,-85.08,40
8,8.03,0.3,-11.51,-85.08,45
9,8.03,0.3,-11.51,-85.08,50
10,8.03,0.3,-11.51,-85.08,55
11,8.03,0.3,-11.51,-85.08,60
12,8.03,0.3,-11.51,-85.08,65
13,8.03,0.3,-11.51,-85.08,70
14,8.03,0.3,-11.51,-85.08,75
15,8.03,0.3,-11.51,-85.08,80
16,8.03,0.3,-11.51,-85.08,85
17,8.03,0.3,-11.51,-85.08,90
18,8.03,0.3,-11.51,-85.08,95
19,8.03,0.3,-11.51,-85.08,100
20,8.03,0.3,-11.51,-85.08,105
21,8.03,0.3,-11.51,-85.08,110
22,8.03,0.3,-11.51,-85.08,115
23,8.03,0.3,-11.51,-85.08,120
24,8.03,0.3,-11.51,-85.08,125
25,8.03,0.3,-11.51,-85.08,130
26,8.03,0.3,-11.51,-85.08,135
27,8.03,0.3,-11.51,-85.08,140
28,8.03,0.3,-11.51,-85.08,145
29,8.03,0.3,-11.51,-85.08,150
30,8.03,0.3,-11.51,-85.08,155
31,8.03,0.3,-11.51,-85.08,160
32,8.03,0.3,-11.51,-85.08,165
33,8.03,0.3,-11.51,-85.08,170
34,8.03,0.3,-11.51,-85.08,175
35,8.03,0.3,-11.51,-85.08,180
36,8.03,0.3,-11.51,-85.08,185
37,8.03,0.3,-11.51,-85.08,190
38,8.03,0.3,-11.51,-85.08,195
