,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,-4.21,0.1,-4.62575,-29.03601,1
1,-4.21,0.1,-6.63694,-55.8669,3
2,-4.21,0.1,-8.72558,-74.95347,5
3,-4.21,0.1,-9.01568,-75.3077,7
4,-4.21,0.1,-9.12832,-75.36364,9
5,-4.21,0.1,-9.19043,-75.38111,11
6,-4.21,0.1,-9.23029,-75.38843,13
7,-4.21,0.1,-9.25821,-75.39207,15
8,-4.21,0.1,-9.27893,-75.39409,17
9,-4.21,0.1,-9.29496,-75.39531,19
10,-4.21,0.1,-9.30775,-75.39609,21
11,-4.21,0.1,-9.31819,-75.39661,23
12,-4.21,0.1,-9.32689,-75.39697,25
13,-4.21,0.1,-9.33426,-75.39724,27
14,-4.21,0.1,-9.34058,-75.39743,29
15,-4.21,0.1,-9.34606,-75.39757,31
16,-4.21,0.1,-9.35086,-75.39769,33
17,-4.21,0.1,-9.3551,-75.39777,35
18,-4.21,0.1,-9.35888,-75.39784,37
19,-4.21,0.1,-9.36226,-75.3979,39
20,-4.21,0.1,-9.36531,-75.39794,41
21,-4.21,0.1,-9.36807,-75.39798,43
22,-4.21,0.1,-9.37058,-75.39801,45
23,-4.21,0.1,-9.37288,-75.39804,47
24,-4.21,0.1,-9.37499,-75.39806,49
25,-4.21,0.1,-9.37694,-75.39808,51
26,-4.21,0.1,-9.37873,-75.39809,53
27,-4.21,0.1,-9.3804,-75.39811,55
28,-4.21,0.1,-9.38194,-75.39812,57
29,-4.21,0.1,-9.38339,-75.39813,59
30,-4.21,0.1,-9.38474,-75.39814,61
31,-4.21,0.1,-9.386,-75.39815,63
32,-4.21,0.1,-9.38718,-75.39815,65
33,-4.21,0.1,-9.3883,-75.39816,67
34,-4.21,0.1,-9.38935,-75.39816,69
35,-4.21,0.1,-9.39034,-75.39817,71
36,-4.21,0.1,-9.39127,-75.39817,73
37,-4.21,0.1,-9.39216,-75.39818,75
38,-4.21,0.1,-9.393,-75.39818,77
39,-4.21,0.1,-9.3938,-75.39818,79
40,-4.21,0.1,-9.39455,-75.39819,81
41,-4.21,0.1,-9.39528,-75.39819,83
42,-4.21,0.1,-9.39596,-75.39819,85
43,-4.21,0.1,-9.39662,-75.39819,87
44,-4.21,0.1,-9.39725,-75.3982,89
45,-4.21,0.1,-9.39785,-75.3982,91
46,-4.21,0.1,-9.39842,-75.3982,93
47,-4.21,0.1,-9.39897,-75.3982,95
48,-4.21,0.1,-9.3995,-75.3982,97
49,-4.21,0.1,-9.4,-75.3982,99
50,-4.21,0.1,-9.40049,-75.3982,101
51,-4.21,0.1,-9.40096,-75.39821,103
52,-4.21,0.1,-9.40141,-75.39821,105
53,-4.21,0.1,-9.40184,-75.39821,107
54,-4.21,0.1,-9.40226,-75.39821,109
55,-4.21,0.1,-9.40266,-75.39821,111
56,-4.21,0.1,-9.40305,-75.39821,113
57,-4.21,0.1,-9.40342,-75.39821,115
58,-4.21,0.1,-9.40378,-75.39821,117
59,-4.21,0.1,-9.40413,-75.39821,119
60,-4.21,0.1,-9.40447,-75.39821,121
61,-4.21,0.1,-9.4048,-75.39821,123
62,-4.21,0.1,-9.40512,-75.39821,125
63,-4.21,0.1,-9.40542,-75.39821,127
64,-4.21,0.1,-9.40572,-75.39821,129
65,-4.21,0.1,-9.40601,-75.39821,131
66,-4.21,0.1,-9.40629,-75.39822,133
67,-4.21,0.1,-9.40656,-75.39822,135
68,-4.21,0.1,-9.40682,-75.39822,137
69,-4.21,0.1,-9.40708,-75.39822,139
70,-4.21,0.1,-9.40733,-75.39822,141
71,-4.21,0.1,-9.40757,-75.39822,143
72,-4.21,0.1,-9.4078,-75.39822,145
73,-4.21,0.1,-9.40803,-75.39822,147
74,-4.21,0.1,-9.40826,-75.39822,149
75,-4.21,0.1,-9.40847,-75.39822,151
76,-4.21,0.1,-9.40868,-75.39822,153
77,-4.21,0.1,-9.40889,-75.39822,155
78,-4.21,0.1,-9.40909,-75.39822,157
79,-4.21,0.1,-9.40929,-75.39822,159
80,-4.21,0.1,-9.40948,-75.39822,161
81,-4.21,0.1,-9.40966,-75.39822,163
82,-4.21,0.1,-9.40985,-75.39822,165
83,-4.21,0.1,-9.41002,-75.39822,167
84,-4.21,0.1,-9.4102,-75.39822,169
85,-4.21,0.1,-9.41037,-75.39822,171
86,-4.21,0.1,-9.41053,-75.39822,173
87,-4.21,0.1,-9.41069,-75.39822,175
88,-4.21,0.1,-9.41085,-75.39822,177
89,-4.21,0.1,-9.411,-75.39822,179
90,-4.21,0.1,-9.41115,-75.39822,181
91,-4.21,0.1,-9.4113,-75.39822,183
92,-4.21,0.1,-9.41145,-75.39822,185
93,-4.21,0.1,-9.41159,-75.39822,187
94,-4.21,0.1,-9.41173,-75.39822,189
95,-4.21,0.1,-9.41186,-75.39822,191
96,-4.21,0.1,-9.412,-75.39822,193
97,-4.21,0.1,-9.41213,-75.39822,195
98,-4.21,0.1,-9.41225,-75.39822,197
99,-4.21,0.1,-9.41238,-75.39822,199
