,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,8.55,0.1,8.25977,73.42849,1
1,8.55,0.1,6.91289,60.01437,3
2,8.55,0.1,4.11871,26.31857,5
3,8.55,0.1,3.61518,25.27279,7
4,8.55,0.1,3.46841,25.17904,9
5,8.55,0.1,3.39391,25.15409,11
6,8.55,0.1,3.34806,25.14445,13
7,8.55,0.1,3.31675,25.1399,15
8,8.55,0.1,3.29392,25.13745,17
9,8.55,0.1,3.27648,25.13601,19
10,8.55,0.1,3.26271,25.13511,21
11,8.55,0.1,3.25154,25.13451,23
12,8.55,0.1,3.24229,25.1341,25
13,8.55,0.1,3.23451,25.13381,27
14,8.55,0.1,3.22786,25.1336,29
15,8.55,0.1,3.22211,25.13344,31
16,8.55,0.1,3.21709,25.13331,33
17,8.55,0.1,3.21267,25.13322,35
18,8.55,0.1,3.20874,25.13314,37
19,8.55,0.1,3.20523,25.13308,39
20,8.55,0.1,3.20207,25.13304,41
21,8.55,0.1,3.19922,25.133,43
22,8.55,0.1,3.19662,25.13296,45
23,8.55,0.1,3.19425,25.13294,47
24,8.55,0.1,3.19208,25.13291,49
25,8.55,0.1,3.19008,25.13289,51
26,8.55,0.1,3.18824,25.13288,53
27,8.55,0.1,3.18653,25.13286,55
28,8.55,0.1,3.18494,25.13285,57
29,8.55,0.1,3.18347,25.13284,59
30,8.55,0.1,3.18209,25.13283,61
31,8.55,0.1,3.1808,25.13282,63
32,8.55,0.1,3.17959,25.13281,65
33,8.55,0.1,3.17845,25.13281,67
34,8.55,0.1,3.17738,25.1328,69
35,8.55,0.1,3.17637,25.1328,71
36,8.55,0.1,3.17541,25.13279,73
37,8.55,0.1,3.17451,25.13279,75
38,8.55,0.1,3.17366,25.13279,77
39,8.55,0.1,3.17284,25.13278,79
40,8.55,0.1,3.17207,25.13278,81
41,8.55,0.1,3.17134,25.13278,83
42,8.55,0.1,3.17064,25.13277,85
43,8.55,0.1,3.16997,25.13277,87
44,8.55,0.1,3.16934,25.13277,89
45,8.55,0.1,3.16873,25.13277,91
46,8.55,0.1,3.16814,25.13277,93
47,8.55,0.1,3.16759,25.13276,95
48,8.55,0.1,3.16705,25.13276,97
49,8.55,0.1,3.16654,25.13276,99
50,8.55,0.1,3.16604,25.13276,101
51,8.55,0.1,3.16557,25.13276,103
52,8.55,0.1,3.16512,25.13276,105
53,8.55,0.1,3.16468,25.13276,107
54,8.55,0.1,3.16425,25.13276,109
55,8.55,0.1,3.16385,25.13276,111
56,8.55,0.1,3.16345,25.13276,113
57,8.55,0.1,3.16308,25.13275,115
58,8.55,0.1,3.16271,25.13275,117
59,8.55,0.1,3.16236,25.13275,119
60,8.55,0.1,3.16201,25.13275,121
61,8.55,0.1,3.16168,25.13275,123
62,8.55,0.1,3.16136,25.13275,125
63,8.55,0.1,3.16105,25.13275,127
64,8.55,0.1,3.16075,25.13275,129
65,8.55,0.1,3.16046,25.13275,131
66,8.55,0.1,3.16018,25.13275,133
67,8.55,0.1,3.1599,25.13275,135
68,8.55,0.1,3.15964,25.13275,137
69,8.55,0.1,3.15938,25.13275,139
70,8.55,0.1,3.15913,25.13275,141
71,8.55,0.1,3.15888,25.13275,143
72,8.55,0.1,3.15865,25.13275,145
73,8.55,0.1,3.15841,25.13275,147
74,8.55,0.1,3.15819,25.13275,149
75,8.55,0.1,3.15797,25.13275,151
76,8.55,0.1,3.15776,25.13275,153
77,8.55,0.1,3.15755,25.13275,155
78,8.55,0.1,3.15735,25.13275,157
79,8.55,0.1,3.15715,25.13275,159
80,8.55,0.1,3.15696,25.13275,161
81,8.55,0.1,3.15677,25.13275,163
82,8.55,0.1,3.15659,25.13275,165
83,8.55,0.1,3.15641,25.13275,167
84,8.55,0.1,3.15623,25.13275,169
85,8.55,0.1,3.15606,25.13275,171
86,8.55,0.1,3.1559,25.13275,173
87,8.55,0.1,3.15573,25.13274,175
88,8.55,0.1,3.15557,25.13274,177
89,8.55,0.1,3.15542,25.13274,179
90,8.55,0.1,3.15527,25.13274,181
91,8.55,0.1,3.15512,25.13274,183
92,8.55,0.1,3.15497,25.13274,185
93,8.55,0.1,3.15483,25.13274,187
94,8.55,0.1,3.15469,25.13274,189
95,8.55,0.1,3.15455,25.13274,191
96,8.55,0.1,3.15442,25.13274,193
97,8.55,0.1,3.15429,25.13274,195
98,8.55,0.1,3.15416,25.13274,197
99,8.55,0.1,3.15404,25.13274,199
