,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,5.45,0.1,4.11038,26.28944,1
1,5.45,0.1,3.31657,25.13987,11
2,5.45,0.1,3.24224,25.1341,21
3,5.45,0.1,3.21264,25.13322,31
4,5.45,0.1,3.19661,25.13296,41
5,5.45,0.1,3.18652,25.13286,51
6,5.45,0.1,3.17958,25.13281,61
7,5.45,0.1,3.17451,25.13279,71
8,5.45,0.1,3.17063,25.13277,81
9,5.45,0.1,3.16758,25.13276,91
10,5.45,0.1,3.16511,25.13276,101
11,5.45,0.1,3.16307,25.13275,111
12,5.45,0.1,3.16136,25.13275,121
13,5.45,0.1,3.1599,25.13275,131
14,5.45,0.1,3.15864,25.13275,141
15,5.45,0.1,3.15755,25.13275,151
16,5.45,0.1,3.15659,25.13275,161
17,5.45,0.1,3.15573,25.13274,171
18,5.45,0.1,3.15497,25.13274,181
19,5.45,0.1,3.15429,25.13274,191
