,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,2.45,0.3,-10.9,-79.22,5
1,2.45,0.3,-10.9,-79.22,10
2,2.45,0.3,-10.9,-79.22,15
3,2.45,0.3,-10.9,-79.22,20
4,2.45,0.3,-10.9,-79.22,25
5,2.45,0.3,-10.9,-79.22,30
6,2.45,0.3,-10.9,-79.22,35
7,2.45,0.3,-10.9,-79.22,40
8,2.45,0.3,-10.9,-79.22,45
9,2.45,0.3,-10.9,-79.22,50
10,2.45,0.3,-10.9,-79.22,55
11,2.45,0.3,-10.9,-79.22,60
12,2.45,0.3,-10.9,-79.22,65
13,2.45,0.3,-10.9,-79.22,70
14,2.45,0.3,-10.9,-79.22,75
15,2.45,0.3,-10.9,-79.22,80
16,2.45,0.3,-10.9,-79.22,85
17,2.45,0.3,-10.9,-79.22,90
18,2.45,0.3,-10.9,-79.22,95
19,2.45,0.3,-10.9,-79.22,100
20,2.45,0.3,-10.9,-79.22,105
21,2.45,0.3,-10.9,-79.22,110
22,2.45,0.3,-10.9,-79.22,115
23,2.45,0.3,-10.9,-79.22,120
24,2.45,0.3,-10.9,-79.22,125
25,2.45,0.3,-10.9,-79.22,130
26,2.45,0.3,-10.9,-79.22,135
27,2.45,0.3,-10.9,-79.22,140
28,2.45,0.3,-10.9,-79.22,145
29,2.45,0.3,-10.9,-79.22,150
30,2.45,0.3,-10.9,-79.22,155
31,2.45,0.3,-10.9,-79.22,160
32,2.45,0.3,-10.9,-79.22,165
33,2.45,0.3,-10.9,-79.22,170
34,2.45,0.3,-10.9,-79.22,175
35,2.45,0.3,-10.9,-79.22,180
36,2.45,0.3,-10.9,-79.22,185
37,2.45,0.3,-10.9,-79.22,190
38,2.45,0.3,-10.9,-79.22,195
