,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,-4.79,0.3,-10.9,-79.2,5
1,-4.79,0.3,-10.9,-79.2,10
2,-4.79,0.3,-10.9,-79.2,15
3,-4.79,0.3,-10.9,-79.2,20
4,-4.79,0.3,-10.9,-79.2,25
5,-4.79,0.3,-10.9,-79.2,30
6,-4.79,0.3,-10.9,-79.2,35
7,-4.79,0.3,-10.9,-79.2,40
8,-4.79,0.3,-10.9,-79.2,45
9,-4.79,0.3,-10.9,-79.2,50
10,-4.79,0.3,-10.9,-79.2,55
11,-4.79,0.3,-10.9,-79.2,60
12,-4.79,0.3,-10.9,-79.2,65
13,-4.79,0.3,-10.9,-79.2,70
14,-4.79,0.3,-10.9,-79.2,75
15,-4.79,0.3,-10.9,-79.2,80
16,-4.79,0.3,-10.9,-79.2,85
17,-4.79,0.3,-10.9,-79.2,90
18,-4.79,0.3,-10.9,-79.2,95
19,-4.79,0.3,-10.9,-79.2,100
20,-4.79,0.3,-10.9,-79.2,105
21,-4.79,0.3,-10.9,-79.2,110
22,-4.79,0.3,-10.9,-79.2,115
23,-4.79,0.3,-10.9,-79.2,120
24,-4.79,0.3,-10.9,-79.2,125
25,-4.79,0.3,-10.9,-79.2,130
26,-4.79,0.3,-10.9,-79.2,135
27,-4.79,0.3,-10.9,-79.2,140
28,-4.79,0.3,-10.9,-79.2,145
29,-4.79,0.3,-10.9,-79.2,150
30,-4.79,0.3,-10.9,-79.2,155
31,-4.79,0.3,-10.9,-79.2,160
32,-4.79,0.3,-10.9,-79.2,165
33,-4.79,0.3,-10.9,-79.2,170
34,-4.79,0.3,-10.9,-79.2,175
35,-4.79,0.3,-10.9,-79.2,180
36,-4.79,0.3,-10.9,-79.2,185
37,-4.79,0.3,-10.9,-79.2,190
38,-4.79,0.3,-10.9,-79.2,195
