,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,-11.63,0.3,-11.63,-86.57,5
1,-11.63,0.3,-11.63,-86.57,10
2,-11.63,0.3,-11.63,-86.57,15
3,-11.63,0.3,-11.63,-86.57,20
4,-11.63,0.3,-11.63,-86.57,25
5,-11.63,0.3,-11.63,-86.57,30
6,-11.63,0.3,-11.63,-86.57,35
7,-11.63,0.3,-11.63,-86.57,40
8,-11.63,0.3,-11.63,-86.57,45
9,-11.63,0.3,-11.63,-86.57,50
10,-11.63,0.3,-11.63,-86.57,55
11,-11.63,0.3,-11.63,-86.57,60
12,-11.63,0.3,-11.63,-86.57,65
13,-11.63,0.3,-11.63,-86.57,70
14,-11.63,0.3,-11.63,-86.57,75
15,-11.63,0.3,-11.63,-86.57,80
16,-11.63,0.3,-11.63,-86.57,85
17,-11.63,0.3,-11.63,-86.57,90
18,-11.63,0.3,-11.63,-86.57,95
19,-11.63,0.3,-11.63,-86.57,100
20,-11.63,0.3,-11.63,-86.57,105
21,-11.63,0.3,-11.63,-86.57,110
22,-11.63,0.3,-11.63,-86.57,115
23,-11.63,0.3,-11.63,-86.57,120
24,-11.63,0.3,-11.63,-86.57,125
25,-11.63,0.3,-11.63,-86.57,130
26,-11.63,0.3,-11.63,-86.57,135
27,-11.63,0.3,-11.63,-86.57,140
28,-11.63,0.3,-11.63,-86.57,145
29,-11.63,0.3,-11.63,-86.57,150
30,-11.63,0.3,-11.63,-86.57,155
31,-11.63,0.3,-11.63,-86.57,160
32,-11.63,0.3,-11.63,-86.57,165
33,-11.63,0.3,-11.63,-86.57,170
34,-11.63,0.3,-11.63,-86.57,175
35,-11.63,0.3,-11.63,-86.57,180
36,-11.63,0.3,-11.63,-86.57,185
37,-11.63,0.3,-11.63,-86.57,190
38,-11.63,0.3,-11.63,-86.57,195
