,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,2.3,0.1,2.03466,23.43192,1
1,2.3,0.1,-2.88381,-25.10998,11
2,2.3,0.1,-3.0193,-25.1303,21
3,2.3,0.1,-3.06057,-25.13203,31
4,2.3,0.1,-3.08083,-25.13244,41
5,2.3,0.1,-3.09292,-25.13259,51
6,2.3,0.1,-3.10097,-25.13265,61
7,2.3,0.1,-3.10672,-25.13268,71
8,2.3,0.1,-3.11104,-25.1327,81
9,2.3,0.1,-3.1144,-25.13271,91
10,2.3,0.1,-3.11709,-25.13272,101
11,2.3,0.1,-3.1193,-25.13273,111
12,2.3,0.1,-3.12114,-25.13273,121
13,2.3,0.1,-3.1227,-25.13273,131
14,2.3,0.1,-3.12403,-25.13273,141
15,2.3,0.1,-3.12519,-25.13274,151
16,2.3,0.1,-3.12621,-25.13274,161
17,2.3,0.1,-3.12711,-25.13274,171
18,2.3,0.1,-3.1279,-25.13274,181
19,2.3,0.1,-3.12862,-25.13274,191
