,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,-0.4,0.3,-10.78,-78.4,5
1,-0.4,0.3,-10.78,-78.4,10
2,-0.4,0.3,-10.78,-78.4,15
3,-0.4,0.3,-10.78,-78.4,20
4,-0.4,0.3,-10.78,-78.4,25
5,-0.4,0.3,-10.78,-78.4,30
6,-0.4,0.3,-10.78,-78.4,35
7,-0.4,0.3,-10.78,-78.4,40
8,-0.4,0.3,-10.78,-78.4,45
9,-0.4,0.3,-10.78,-78.4,50
10,-0.4,0.3,-10.78,-78.4,55
11,-0.4,0.3,-10.78,-78.4,60
12,-0.4,0.3,-10.78,-78.4,65
13,-0.4,0.3,-10.78,-78.4,70
14,-0.4,0.3,-10.78,-78.4,75
15,-0.4,0.3,-10.78,-78.4,80
16,-0.4,0.3,-10.78,-78.4,85
17,-0.4,0.3,-10.78,-78.4,90
18,-0.4,0.3,-10.78,-78.4,95
19,-0.4,0.3,-10.78,-78.4,100
20,-0.4,0.3,-10.78,-78.4,105
21,-0.4,0.3,-10.78,-78.4,110
22,-0.4,0.3,-10.78,-78.4,115
23,-0.4,0.3,-10.78,-78.4,120
24,-0.4,0.3,-10.78,-78.4,125
25,-0.4,0.3,-10.78,-78.4,130
26,-0.4,0.3,-10.78,-78.4,135
27,-0.4,0.3,-10.78,-78.4,140
28,-0.4,0.3,-10.78,-78.4,145
29,-0.4,0.3,-10.78,-78.4,150
30,-0.4,0.3,-10.78,-78.4,155
31,-0.4,0.3,-10.78,-78.4,160
32,-0.4,0.3,-10.78,-78.4,165
33,-0.4,0.3,-10.78,-78.4,170
34,-0.4,0.3,-10.78,-78.4,175
35,-0.4,0.3,-10.78,-78.4,180
36,-0.4,0.3,-10.78,-78.4,185
37,-0.4,0.3,-10.78,-78.4,190
38,-0.4,0.3,-10.78,-78.4,195
