,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,1.86,0.3,-11.27,-82.5,5
1,1.86,0.3,-11.27,-82.5,10
2,1.86,0.3,-11.27,-82.5,15
3,1.86,0.3,-11.27,-82.5,20
4,1.86,0.3,-11.27,-82.5,25
5,1.86,0.3,-11.27,-82.5,30
6,1.86,0.3,-11.27,-82.5,35
7,1.86,0.3,-11.27,-82.5,40
8,1.86,0.3,-11.27,-82.5,45
9,1.86,0.3,-11.27,-82.5,50
10,1.86,0.3,-11.27,-82.5,55
11,1.86,0.3,-11.27,-82.5,60
12,1.86,0.3,-11.27,-82.5,65
13,1.86,0.3,-11.27,-82.5,70
14,1.86,0.3,-11.27,-82.5,75
15,1.86,0.3,-11.27,-82.5,80
16,1.86,0.3,-11.27,-82.5,85
17,1.86,0.3,-11.27,-82.5,90
18,1.86,0.3,-11.27,-82.5,95
19,1.86,0.3,-11.27,-82.5,100
20,1.86,0.3,-11.27,-82.5,105
21,1.86,0.3,-11.27,-82.5,110
22,1.86,0.3,-11.27,-82.5,115
23,1.86,0.3,-11.27,-82.5,120
24,1.86,0.3,-11.27,-82.5,125
25,1.86,0.3,-11.27,-82.5,130
26,1.86,0.3,-11.27,-82.5,135
27,1.86,0.3,-11.27,-82.5,140
28,1.86,0.3,-11.27,-82.5,145
29,1.86,0.3,-11.27,-82.5,150
30,1.86,0.3,-11.27,-82.5,155
31,1.86,0.3,-11.27,-82.5,160
32,1.86,0.3,-11.27,-82.5,165
33,1.86,0.3,-11.27,-82.5,170
34,1.86,0.3,-11.27,-82.5,175
35,1.86,0.3,-11.27,-82.5,180
36,1.86,0.3,-11.27,-82.5,185
37,1.86,0.3,-11.27,-82.5,190
38,1.86,0.3,-11.27,-82.5,195
