,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,3.92,0.3,3.2,25.13,5
1,3.92,0.3,3.18,25.13,10
2,3.92,0.3,3.18,25.13,15
3,3.92,0.3,3.17,25.13,20
4,3.92,0.3,3.17,25.13,25
5,3.92,0.3,3.16,25.13,30
6,3.92,0.3,3.16,25.13,35
7,3.92,0.3,3.16,25.13,40
8,3.92,0.3,3.16,25.13,45
9,3.92,0.3,3.16,25.13,50
10,3.92,0.3,3.15,25.13,55
11,3.92,0.3,3.15,25.13,60
12,3.92,0.3,3.15,25.13,65
13,3.92,0.3,3.15,25.13,70
14,3.92,0.3,3.15,25.13,75
15,3.92,0.3,3.15,25.13,80
16,3.92,0.3,3.15,25.13,85
17,3.92,0.3,3.15,25.13,90
18,3.92,0.3,3.15,25.13,95
19,3.92,0.3,3.15,25.13,100
20,3.92,0.3,3.15,25.13,105
21,3.92,0.3,3.15,25.13,110
22,3.92,0.3,3.15,25.13,115
23,3.92,0.3,3.15,25.13,120
24,3.92,0.3,3.15,25.13,125
25,3.92,0.3,3.15,25.13,130
26,3.92,0.3,3.15,25.13,135
27,3.92,0.3,3.15,25.13,140
28,3.92,0.3,3.15,25.13,145
29,3.92,0.3,3.15,25.13,150
30,3.92,0.3,3.15,25.13,155
31,3.92,0.3,3.15,25.13,160
32,3.92,0.3,3.15,25.13,165
33,3.92,0.3,3.15,25.13,170
34,3.92,0.3,3.15,25.13,175
35,3.92,0.3,3.15,25.13,180
36,3.92,0.3,3.15,25.13,185
37,3.92,0.3,3.15,25.13,190
38,3.92,0.3,3.15,25.13,195
