,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,[0.78 1.74],0.2,[0.7867 1.8052],0.08819,1
1,[0.78 1.74],0.2,[0.79681 1.90645],0.06375,3
2,[0.78 1.74],0.2,[0.80505 1.98583],0.04861,5
3,[0.78 1.74],0.2,[0.81191 2.05013],0.03862,7
4,[0.78 1.74],0.2,[0.81774 2.10363],0.03165,9
5,[0.78 1.74],0.2,[0.8228  2.14916],0.02659,11
6,[0.78 1.74],0.2,[0.82724 2.18859],0.02278,13
7,[0.78 1.74],0.2,[0.83119 2.22324],0.01982,15
8,[0.78 1.74],0.2,[0.83474 2.25407],0.01748,17
9,[0.78 1.74],0.2,[0.83796 2.28178],0.01558,19
10,[0.78 1.74],0.2,[0.8409  2.30689],0.01402,21
11,[0.78 1.74],0.2,[0.84361 2.32982],0.01271,23
12,[0.78 1.74],0.2,[0.84611 2.3509 ],0.0116,25
13,[0.78 1.74],0.2,[0.84844 2.37038],0.01066,27
14,[0.78 1.74],0.2,[0.85061 2.38847],0.00984,29
15,[0.78 1.74],0.2,[0.85265 2.40535],0.00913,31
16,[0.78 1.74],0.2,[0.85457 2.42115],0.00851,33
17,[0.78 1.74],0.2,[0.85638 2.43601],0.00796,35
18,[0.78 1.74],0.2,[0.85809 2.45001],0.00747,37
19,[0.78 1.74],0.2,[0.85971 2.46324],0.00703,39
20,[0.78 1.74],0.2,[0.86126 2.47579],0.00663,41
21,[0.78 1.74],0.2,[0.86273 2.48771],0.00628,43
22,[0.78 1.74],0.2,[0.86414 2.49906],0.00595,45
23,[0.78 1.74],0.2,[0.86548 2.50988],0.00566,47
24,[0.78 1.74],0.2,[0.86677 2.52023],0.00539,49
25,[0.78 1.74],0.2,[0.86801 2.53014],0.00515,51
26,[0.78 1.74],0.2,[0.8692  2.53965],0.00492,53
27,[0.78 1.74],0.2,[0.87035 2.54877],0.00471,55
28,[0.78 1.74],0.2,[0.87145 2.55755],0.00451,57
29,[0.78 1.74],0.2,[0.87252 2.566  ],0.00433,59
30,[0.78 1.74],0.2,[0.87355 2.57415],0.00417,61
31,[0.78 1.74],0.2,[0.87454 2.58202],0.00401,63
32,[0.78 1.74],0.2,[0.87551 2.58962],0.00387,65
33,[0.78 1.74],0.2,[0.87644 2.59697],0.00373,67
34,[0.78 1.74],0.2,[0.87735 2.60409],0.0036,69
35,[0.78 1.74],0.2,[0.87823 2.61099],0.00348,71
36,[0.78 1.74],0.2,[0.87908 2.61768],0.00337,73
37,[0.78 1.74],0.2,[0.87991 2.62417],0.00326,75
38,[0.78 1.74],0.2,[0.88072 2.63048],0.00316,77
39,[0.78 1.74],0.2,[0.88151 2.63661],0.00307,79
40,[0.78 1.74],0.2,[0.88227 2.64258],0.00298,81
41,[0.78 1.74],0.2,[0.88302 2.64838],0.00289,83
42,[0.78 1.74],0.2,[0.88375 2.65404],0.00281,85
43,[0.78 1.74],0.2,[0.88446 2.65955],0.00274,87
44,[0.78 1.74],0.2,[0.88515 2.66492],0.00266,89
