,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,[ 1.86 -0.74],0.2,[ 1.80694 -0.73908],-0.08862,1
1,[ 1.86 -0.74],0.2,[ 0.91984 -0.71081],-0.50781,11
2,[ 1.86 -0.74],0.2,[ 0.70799 -0.70712],-0.55182,21
3,[ 1.86 -0.74],0.2,[ 0.70713 -0.70711],-0.55182,31
4,[ 1.86 -0.74],0.2,[ 0.70713 -0.70711],-0.55182,41
5,[ 1.86 -0.74],0.2,[ 0.70713 -0.70711],-0.55182,51
6,[ 1.86 -0.74],0.2,[ 0.70713 -0.70711],-0.55182,61
7,[ 1.86 -0.74],0.2,[ 0.70713 -0.70711],-0.55182,71
8,[ 1.86 -0.74],0.2,[ 0.70713 -0.70711],-0.55182,81
9,[ 1.86 -0.74],0.2,[ 0.70713 -0.70711],-0.55182,91
10,[ 1.86 -0.74],0.2,[ 0.70713 -0.70711],-0.55182,101
11,[ 1.86 -0.74],0.2,[ 0.70713 -0.70711],-0.55182,111
12,[ 1.86 -0.74],0.2,[ 0.70713 -0.70711],-0.55182,121
13,[ 1.86 -0.74],0.2,[ 0.70713 -0.70711],-0.55182,131
14,[ 1.86 -0.74],0.2,[ 0.70713 -0.70711],-0.55182,141
15,[ 1.86 -0.74],0.2,[ 0.70713 -0.70711],-0.55182,151
16,[ 1.86 -0.74],0.2,[ 0.70713 -0.70711],-0.55182,161
17,[ 1.86 -0.74],0.2,[ 0.70713 -0.70711],-0.55182,171
18,[ 1.86 -0.74],0.2,[ 0.70713 -0.70711],-0.55182,181
19,[ 1.86 -0.74],0.2,[ 0.70713 -0.70711],-0.55182,191
