,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,[0.19 0.05],0.2,[ 0.1575  -0.05526],-0.02539,1
1,[0.19 0.05],0.2,[ 0.70124 -0.70118],-0.55174,11
2,[0.19 0.05],0.2,[ 0.70708 -0.70708],-0.55182,21
3,[0.19 0.05],0.2,[ 0.70708 -0.70708],-0.55182,31
4,[0.19 0.05],0.2,[ 0.70708 -0.70708],-0.55182,41
5,[0.19 0.05],0.2,[ 0.70708 -0.70708],-0.55182,51
6,[0.19 0.05],0.2,[ 0.70708 -0.70708],-0.55182,61
7,[0.19 0.05],0.2,[ 0.70708 -0.70708],-0.55182,71
8,[0.19 0.05],0.2,[ 0.70708 -0.70708],-0.55182,81
9,[0.19 0.05],0.2,[ 0.70708 -0.70708],-0.55182,91
10,[0.19 0.05],0.2,[ 0.70708 -0.70708],-0.55182,101
11,[0.19 0.05],0.2,[ 0.70708 -0.70708],-0.55182,111
12,[0.19 0.05],0.2,[ 0.70708 -0.70708],-0.55182,121
13,[0.19 0.05],0.2,[ 0.70708 -0.70708],-0.55182,131
14,[0.19 0.05],0.2,[ 0.70708 -0.70708],-0.55182,141
15,[0.19 0.05],0.2,[ 0.70708 -0.70708],-0.55182,151
16,[0.19 0.05],0.2,[ 0.70708 -0.70708],-0.55182,161
17,[0.19 0.05],0.2,[ 0.70708 -0.70708],-0.55182,171
18,[0.19 0.05],0.2,[ 0.70708 -0.70708],-0.55182,181
19,[0.19 0.05],0.2,[ 0.70708 -0.70708],-0.55182,191
