,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,[-1.11  0.57],0.2,[-1.003    0.62043],-0.46455,1
1,[-1.11  0.57],0.2,[-0.70858  0.70682],-0.55182,11
2,[-1.11  0.57],0.2,[-0.70715  0.7071 ],-0.55182,21
3,[-1.11  0.57],0.2,[-0.70715  0.7071 ],-0.55182,31
4,[-1.11  0.57],0.2,[-0.70715  0.7071 ],-0.55182,41
5,[-1.11  0.57],0.2,[-0.70715  0.7071 ],-0.55182,51
6,[-1.11  0.57],0.2,[-0.70715  0.7071 ],-0.55182,61
7,[-1.11  0.57],0.2,[-0.70715  0.7071 ],-0.55182,71
8,[-1.11  0.57],0.2,[-0.70715  0.7071 ],-0.55182,81
9,[-1.11  0.57],0.2,[-0.70715  0.7071 ],-0.55182,91
10,[-1.11  0.57],0.2,[-0.70715  0.7071 ],-0.55182,101
11,[-1.11  0.57],0.2,[-0.70715  0.7071 ],-0.55182,111
12,[-1.11  0.57],0.2,[-0.70715  0.7071 ],-0.55182,121
13,[-1.11  0.57],0.2,[-0.70715  0.7071 ],-0.55182,131
14,[-1.11  0.57],0.2,[-0.70715  0.7071 ],-0.55182,141
15,[-1.11  0.57],0.2,[-0.70715  0.7071 ],-0.55182,151
16,[-1.11  0.57],0.2,[-0.70715  0.7071 ],-0.55182,161
17,[-1.11  0.57],0.2,[-0.70715  0.7071 ],-0.55182,171
18,[-1.11  0.57],0.2,[-0.70715  0.7071 ],-0.55182,181
19,[-1.11  0.57],0.2,[-0.70715  0.7071 ],-0.55182,191
