,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,[ 1.8  -1.82],0.2,[ 1.79358 -1.81469],-0.01453,1
1,[ 1.8  -1.82],0.2,[ 1.68036 -1.69964],-0.02832,11
2,[ 1.8  -1.82],0.2,[ 1.43992 -1.45518],-0.09512,21
3,[ 1.8  -1.82],0.2,[ 0.79762 -0.80014],-0.53424,31
4,[ 1.8  -1.82],0.2,[ 0.70742 -0.70743],-0.55182,41
5,[ 1.8  -1.82],0.2,[ 0.70714 -0.70714],-0.55182,51
6,[ 1.8  -1.82],0.2,[ 0.70714 -0.70714],-0.55182,61
7,[ 1.8  -1.82],0.2,[ 0.70714 -0.70714],-0.55182,71
8,[ 1.8  -1.82],0.2,[ 0.70714 -0.70714],-0.55182,81
9,[ 1.8  -1.82],0.2,[ 0.70714 -0.70714],-0.55182,91
10,[ 1.8  -1.82],0.2,[ 0.70714 -0.70714],-0.55182,101
11,[ 1.8  -1.82],0.2,[ 0.70714 -0.70714],-0.55182,111
12,[ 1.8  -1.82],0.2,[ 0.70714 -0.70714],-0.55182,121
13,[ 1.8  -1.82],0.2,[ 0.70714 -0.70714],-0.55182,131
14,[ 1.8  -1.82],0.2,[ 0.70714 -0.70714],-0.55182,141
15,[ 1.8  -1.82],0.2,[ 0.70714 -0.70714],-0.55182,151
16,[ 1.8  -1.82],0.2,[ 0.70714 -0.70714],-0.55182,161
17,[ 1.8  -1.82],0.2,[ 0.70714 -0.70714],-0.55182,171
18,[ 1.8  -1.82],0.2,[ 0.70714 -0.70714],-0.55182,181
19,[ 1.8  -1.82],0.2,[ 0.70714 -0.70714],-0.55182,191
