,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,[0.78 1.74],0.05,[1.00803 3.53227],1e-05,32078
1,[0.78 1.74],0.1,[1.00774 3.53233],1e-05,16038
2,[0.78 1.74],0.15,[1.00745 3.53237],1e-05,10691
3,[0.78 1.74],0.2,[1.00715 3.53243],1e-05,8018
4,[0.78 1.74],0.25,[1.00684 3.53246],1e-05,6413
5,[0.78 1.74],0.3,[1.00654 3.53252],1e-05,5344
6,[0.78 1.74],0.35,[1.00622 3.53257],1e-05,4580
7,[0.78 1.74],0.4,[1.0059  3.53261],1e-05,4007
8,[0.78 1.74],0.45,[1.00558 3.53269],1e-05,3562
9,[0.78 1.74],0.5,[1.00525 3.53272],1e-05,3205
10,[0.78 1.74],0.55,[1.00493 3.53281],1e-05,2914
11,[0.78 1.74],0.6,[1.00459 3.53287],1e-05,2671
12,[0.78 1.74],0.65,[1.00424 3.5329 ],1e-05,2465
13,[0.78 1.74],0.7,[1.0039  3.53298],1e-05,2289
14,[0.78 1.74],0.75,[1.00354 3.53302],1e-05,2136
15,[0.78 1.74],0.8,[1.00317 3.53305],1e-05,2002
16,[0.78 1.74],0.85,[1.00281 3.53311],1e-05,1884
17,[0.78 1.74],0.9,[1.00243 3.53315],1e-05,1779
18,[0.78 1.74],0.95,[1.00207 3.53329],1e-05,1686
19,[0.78 1.74],1.0,[1.00167 3.5333 ],1e-05,1601
20,[0.78 1.74],1.05,[1.00129 3.5334 ],1e-05,1525
21,[0.78 1.74],1.1,[1.00088 3.5334 ],1e-05,1455
22,[0.78 1.74],1.15,[1.00049 3.53351],1e-05,1392
23,[0.78 1.74],1.2,[1.00008 3.5336 ],1e-05,1334
24,[0.78 1.74],1.25,[0.99966 3.5336 ],1e-05,1280
25,[0.78 1.74],1.3,[0.99924 3.53371],1e-05,1231
26,[0.78 1.74],1.35,[0.99881 3.53374],1e-05,1185
27,[0.78 1.74],1.4,[0.99839 3.53387],1e-05,1143
28,[0.78 1.74],1.45,[0.99794 3.53388],1e-05,1103
