,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,[-1.11  0.57],0.05,[-0.70715  0.7071 ],-0.55182,83
1,[-1.11  0.57],0.1,[-0.70715  0.7071 ],-0.55182,39
2,[-1.11  0.57],0.15,[-0.70714  0.7071 ],-0.55182,25
3,[-1.11  0.57],0.2,[-0.70715  0.7071 ],-0.55182,17
4,[-1.11  0.57],0.25,[-0.70714  0.7071 ],-0.55182,13
5,[-1.11  0.57],0.3,[-0.70713  0.7071 ],-0.55182,10
6,[-1.11  0.57],0.35,[-0.70712  0.7071 ],-0.55182,8
7,[-1.11  0.57],0.4,[-0.70712  0.70711],-0.55182,6
8,[-1.11  0.57],0.45,[-0.70711  0.70711],-0.55182,4
9,[-1.11  0.57],0.5,[-0.70714  0.70712],-0.55182,4
10,[-1.11  0.57],0.55,[-0.70708  0.70711],-0.55182,6
11,[-1.11  0.57],0.6,[-0.70708  0.7071 ],-0.55182,8
12,[-1.11  0.57],0.65,[-0.70708  0.7071 ],-0.55182,10
13,[-1.11  0.57],0.7,[-0.70707  0.70707],-0.55182,12
14,[-1.11  0.57],0.75,[-0.7071   0.70707],-0.55182,18
