,mean,std,min,max
step_length,0.75,0.4257346591481601,0.05,1.45
value of the found local minimum,-0.49103448275862077,0.10778102230204031,-0.55,-0.14
number of steps,35385.34482758621,47930.355907798934,7.0,100000.0
