,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,[1.84 1.24],0.05,[3.01 1.9 ],0.0,10000
1,[1.84 1.24],0.1,[3.12 1.96],0.0,10000
2,[1.84 1.24],0.15,[3.16 1.99],0.0,9248
3,[1.84 1.24],0.2,[3.16 1.99],0.0,6936
4,[1.84 1.24],0.25,[3.16 1.99],0.0,5548
5,[1.84 1.24],0.3,[3.16 1.99],0.0,4623
6,[1.84 1.24],0.35,[3.16 1.99],0.0,3962
7,[1.84 1.24],0.4,[3.16 1.99],0.0,3466
8,[1.84 1.24],0.45,[3.16 1.99],0.0,3081
9,[1.84 1.24],0.5,[3.16 1.99],0.0,2773
10,[1.84 1.24],0.55,[3.16 1.99],0.0,2520
11,[1.84 1.24],0.6,[3.16 1.99],0.0,2310
12,[1.84 1.24],0.65,[3.16 1.99],0.0,2132
13,[1.84 1.24],0.7,[3.16 1.99],0.0,1980
14,[1.84 1.24],0.75,[3.16 1.99],0.0,1847
15,[1.84 1.24],0.8,[3.16 1.99],0.0,1732
16,[1.84 1.24],0.85,[3.16 1.99],0.0,1630
17,[1.84 1.24],0.9,[3.16 1.98],0.0,1539
18,[1.84 1.24],0.95,[3.16 1.98],0.0,1458
19,[1.84 1.24],1.0,[3.16 1.98],0.0,1385
20,[1.84 1.24],1.05,[3.16 1.98],0.0,1319
21,[1.84 1.24],1.1,[3.16 1.98],0.0,1259
22,[1.84 1.24],1.15,[3.16 1.98],0.0,1204
23,[1.84 1.24],1.2,[3.16 1.98],0.0,1154
24,[1.84 1.24],1.25,[3.16 1.98],0.0,1107
25,[1.84 1.24],1.3,[3.16 1.98],0.0,1065
26,[1.84 1.24],1.35,[3.16 1.98],0.0,1025
27,[1.84 1.24],1.4,[3.16 1.98],0.0,988
28,[1.84 1.24],1.45,[3.16 1.98],0.0,954
