,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,[1.4  1.06],0.05,[2.95798 2.     ],5e-05,10116
1,[1.4  1.06],0.1,[2.95905 2.     ],5e-05,5083
2,[1.4  1.06],0.15,[2.96011 1.99998],5e-05,3405
3,[1.4  1.06],0.2,[2.96123 1.99997],5e-05,2567
4,[1.4  1.06],0.25,[2.96241 2.     ],5e-05,2065
5,[1.4  1.06],0.3,[2.96356 1.99998],5e-05,1730
6,[1.4  1.06],0.35,[2.96473 1.99998],5e-05,1491
7,[1.4  1.06],0.4,[2.96594 1.99997],5e-05,1312
8,[1.4  1.06],0.45,[2.96718 1.99997],5e-05,1173
9,[1.4  1.06],0.5,[2.96845 1.99998],5e-05,1062
10,[1.4  1.06],0.55,[2.96969 1.99995],5e-05,971
11,[1.4  1.06],0.6,[2.97106 1.99999],5e-05,896
12,[1.4  1.06],0.65,[2.97234 1.99996],5e-05,832
13,[1.4  1.06],0.7,[2.9736 1.9999],5e-05,777
14,[1.4  1.06],0.75,[2.97499 1.9999 ],5e-05,730
