,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,[-1.95 -1.25],0.05,[-3.21021 -1.90351],2e-05,28223
1,[-1.95 -1.25],0.1,[-3.21023 -1.90346],2e-05,14110
2,[-1.95 -1.25],0.15,[-3.21026 -1.90343],2e-05,9406
3,[-1.95 -1.25],0.2,[-3.21029 -1.90339],2e-05,7054
4,[-1.95 -1.25],0.25,[-3.2103  -1.90334],2e-05,5642
5,[-1.95 -1.25],0.3,[-3.21032 -1.90329],2e-05,4701
6,[-1.95 -1.25],0.35,[-3.21035 -1.90325],2e-05,4029
7,[-1.95 -1.25],0.4,[-3.21038 -1.9032 ],2e-05,3525
8,[-1.95 -1.25],0.45,[-3.21041 -1.90316],2e-05,3133
9,[-1.95 -1.25],0.5,[-3.21046 -1.90313],2e-05,2820
10,[-1.95 -1.25],0.55,[-3.21047 -1.90307],2e-05,2563
11,[-1.95 -1.25],0.6,[-3.21049 -1.90302],2e-05,2349
12,[-1.95 -1.25],0.65,[-3.21051 -1.90297],2e-05,2168
13,[-1.95 -1.25],0.7,[-3.21055 -1.90293],2e-05,2013
14,[-1.95 -1.25],0.75,[-3.21061 -1.9029 ],2e-05,1879
