,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,[-1.67  0.37],0.05,[-0.70715  0.7071 ],-0.55182,108
1,[-1.67  0.37],0.1,[-0.70715  0.7071 ],-0.55182,52
2,[-1.67  0.37],0.15,[-0.70715  0.7071 ],-0.55182,33
3,[-1.67  0.37],0.2,[-0.70714  0.7071 ],-0.55182,24
4,[-1.67  0.37],0.25,[-0.70715  0.7071 ],-0.55182,18
5,[-1.67  0.37],0.3,[-0.70715  0.7071 ],-0.55182,14
6,[-1.67  0.37],0.35,[-0.70712  0.70711],-0.55182,12
7,[-1.67  0.37],0.4,[-0.70714  0.70711],-0.55182,9
8,[-1.67  0.37],0.45,[-0.70711  0.70711],-0.55182,7
9,[-1.67  0.37],0.5,[-0.70709  0.70711],-0.55182,7
10,[-1.67  0.37],0.55,[-0.7071   0.70711],-0.55182,9
11,[-1.67  0.37],0.6,[-0.70708  0.70711],-0.55182,10
12,[-1.67  0.37],0.65,[-0.70713  0.70711],-0.55182,13
13,[-1.67  0.37],0.7,[-0.70714  0.70711],-0.55182,15
14,[-1.67  0.37],0.75,[-0.7071   0.70714],-0.55182,17
