,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,[-0.96 -1.31],0.05,[-1.94693 -3.18499],2e-05,28020
1,[-0.96 -1.31],0.1,[-1.94588 -3.18561],2e-05,14011
2,[-0.96 -1.31],0.15,[-1.94482 -3.18625],2e-05,9342
3,[-0.96 -1.31],0.2,[-1.94374 -3.18689],2e-05,7007
4,[-0.96 -1.31],0.25,[-1.94265 -3.18753],2e-05,5606
5,[-0.96 -1.31],0.3,[-1.94155 -3.18818],2e-05,4672
6,[-0.96 -1.31],0.35,[-1.94044 -3.18884],2e-05,4005
7,[-0.96 -1.31],0.4,[-1.93933 -3.18951],2e-05,3505
8,[-0.96 -1.31],0.45,[-1.93821 -3.19018],2e-05,3116
9,[-0.96 -1.31],0.5,[-1.93705 -3.19082],2e-05,2804
10,[-0.96 -1.31],0.55,[-1.93593 -3.19153],2e-05,2550
11,[-0.96 -1.31],0.6,[-1.93475 -3.19217],2e-05,2337
12,[-0.96 -1.31],0.65,[-1.93361 -3.19288],2e-05,2158
13,[-0.96 -1.31],0.7,[-1.93244 -3.19357],2e-05,2004
14,[-0.96 -1.31],0.75,[-1.93128 -3.19429],2e-05,1871
15,[-0.96 -1.31],0.8,[-1.93008 -3.19497],2e-05,1754
16,[-0.96 -1.31],0.85,[-1.92887 -3.19567],2e-05,1651
17,[-0.96 -1.31],0.9,[-1.92764 -3.19634],2e-05,1559
18,[-0.96 -1.31],0.95,[-1.92641 -3.19705],2e-05,1477
19,[-0.96 -1.31],1.0,[-1.92522 -3.19784],2e-05,1404
20,[-0.96 -1.31],1.05,[-1.92395 -3.19854],2e-05,1337
21,[-0.96 -1.31],1.1,[-1.92268 -3.19923],2e-05,1276
22,[-0.96 -1.31],1.15,[-1.92143 -3.20001],2e-05,1221
23,[-0.96 -1.31],1.2,[-1.92014 -3.20072],2e-05,1170
24,[-0.96 -1.31],1.25,[-1.91883 -3.20143],2e-05,1123
25,[-0.96 -1.31],1.3,[-1.91755 -3.20219],2e-05,1080
26,[-0.96 -1.31],1.35,[-1.91624 -3.20294],2e-05,1040
27,[-0.96 -1.31],1.4,[-1.91494 -3.2037 ],2e-05,1003
28,[-0.96 -1.31],1.45,[-1.91367 -3.20454],2e-05,969
